value,price,exponential moving average
567,34217.72,39075.439130249746
568,34384.59,39036.510921699955
569,35331.17,39005.76120450742
570,36154.52,38982.09945177292
571,36050.48,38957.770659642025
572,37210.38,38943.26949234209
573,36800.0,38925.48302352597
574,36368.23,38904.26100673323
575,36648.31,38885.53942161511
576,36027.97,38861.82515255606
577,36116.84,38839.045192783815
578,36298.0,38817.95768081051
579,36405.01,38797.9332187291
580,35939.0,38774.20763185168
581,36037.16,38751.49354362054
582,35834.99,38727.290194710826
583,36035.0,38704.94753749331
584,36059.27,38682.991707306646
585,36389.86,38663.9615686568
586,36410.05,38645.256908336
587,36385.0,38626.49958959462
588,36497.26,38608.8295515067
589,36479.25,38591.1566921581
590,36285.7,38572.02427147629
591,36522.01,38555.01170490803
592,36805.52,38540.4931015478
593,37245.24,38529.74411315322
594,37299.99,38519.5386848283
595,37039.99,38507.26027250608
596,36836.91,38493.398444518476
597,36544.92,38477.22849892081
598,36769.99,38463.06054457292
599,36934.26,38450.373403124184
600,36618.66,38435.17246201942
601,36833.76,38421.882732044156
602,36800.15,38408.42436912263
603,37363.81,38399.75537020875
604,37762.15,38394.46403933565
605,37575.0,38387.66350788888
606,37284.0,38378.50447462839
607,37321.95,38369.73638770201
608,37571.86,38363.1150068912
609,37620.01,38356.94816036099
610,37910.63,38353.24427521276
611,38045.91,38350.69378330228
612,37737.5,38345.60503821264
613,38170.01,38344.14781797851
614,38201.88,38342.96717218616
615,37962.11,38339.80653175308
616,38234.95,38338.93635306633
617,38032.27,38336.391404078226
618,37950.7,38333.19064553816
619,37548.79,38326.681096612534
620,36989.1,38315.58083854936
621,36311.23,38298.94722163194
622,36489.99,38283.93512850637
623,36787.43,38271.51599880922
624,36975.1,38260.757359814954
625,35868.54,38240.90493359243
626,35995.29,38222.2691250149
627,35730.42,38201.58987916416
628,35912.56,38182.59378058189
629,35953.76,38164.09723468495
630,36113.73,38147.081738961424
631,36150.76,38130.51475357585
632,36420.01,38116.3196933802
633,36505.31,38102.95031833141
634,36301.17,38087.99778456932
635,36670.15,38076.23141291315
636,36650.16,38064.3967953786
637,36806.08,38053.95433234641
638,36856.18,38044.014296393325
639,36625.3,38032.240733767656
640,36513.66,38019.638404026846
641,36266.37,38005.08845876521
642,36191.5,37990.03793213645
643,36194.34,37975.13587460835
644,35574.0,37955.209435814926
645,36168.83,37940.384710206505
646,36683.88,37929.957285225544
647,37131.0,37923.32693431081
648,37129.08,37916.73567344516
649,36862.77,37907.98907034603
650,36928.66,37899.861858143995
651,37341.84,37895.230971354424
652,37210.01,37889.54449026435
653,37196.06,37883.789432253856
654,36896.94,37875.599810409425
655,36788.86,37866.58122277117
656,36643.79,37856.43357776893
657,36473.29,37844.95520782894
658,36596.93,37834.59815216232
659,36433.29,37822.969038866366
660,36268.18,37810.066225265815
661,36890.17,37802.432231695144
662,36749.65,37793.695449689374
663,37169.99,37788.51947085378
664,37082.54,37782.66072005832
665,36832.16,37774.77274727775
666,37022.43,37768.52923900159
667,37205.88,37763.85995071112
668,37730.18,37763.58044904547
669,37780.0,37763.71671087912
670,37642.62,37762.71175892162
671,37696.21,37762.159877104845
672,37771.58,37762.23805239858
673,37520.01,37760.22786109237
674,37524.39,37758.2707004194
675,37715.0,37757.91160746986
676,37793.51,37758.20702981451
677,37644.0,37757.25925363348
678,37729.08,37757.02540090623
679,37822.15,37757.56585401074
680,37767.6,37757.64912493181
681,37690.66,37757.09319858383
682,37740.1,37756.95217618894
683,37723.57,37756.675145681154
684,37826.86,37757.25759260496
685,38129.98,37760.35072461654
686,37599.38,37759.014867980724
687,37543.79,37757.22876949126
688,37519.07,37755.252348167676
689,37628.76,37754.20261913724
690,37781.35,37754.42790860499
691,37831.0,37755.06336164561
692,38319.8,37759.74997275228
693,38336.71,37764.53802277094
694,38120.2,37767.48957444919
695,38150.01,37770.66401781476
696,37808.09,37770.97460687854
697,37916.8,37772.18477611606
698,37940.63,37773.58266179145
699,37899.99,37774.63168534505
700,38081.78,37777.18063401439
701,38122.67,37780.04776568232
702,38090.01,37782.62006638206
703,38228.0,37786.31616541623
704,37992.01,37788.02316819286
705,37881.93,37788.80247800039
706,38173.57,37791.99556946927
707,38095.46,37794.51394648613
708,37921.37,37795.5666938182
709,37945.42,37796.810289720124
710,37825.49,37797.048295614564
711,37962.13,37798.41826826507
712,37822.24,37798.61595898487
713,37975.0,37800.0797269601
714,37813.89,37800.19433503512
715,37505.73,37797.75064760745
716,37665.0,37796.648982482075
717,37713.0,37795.95480005484
718,37767.09,37795.715258145676
719,37870.01,37796.33181201999
720,36821.39,37788.241008600744
721,36804.37,37780.07610396505
722,36965.9,37773.31945579937
723,36998.67,37766.890829610165
724,36894.99,37759.65513807813
725,36981.0,37753.193269712334
726,36901.05,37746.12154133298
727,37098.68,37740.74858248374
728,37124.29,37735.632743624956
729,37185.01,37731.06326027537
730,37274.01,37727.27028716105
731,37245.0,37723.26804411408
732,37063.91,37717.79619312558
733,37225.71,37713.71249027806
734,37484.04,37711.80649450812
735,37694.46,37711.66254019685
736,38304.62,37716.5833489919
737,38449.98,37722.66962825338
738,38446.43,37728.675938392356
739,38400.0,37734.247092430596
740,38432.32,37740.040228592996
741,38395.17,37745.476990181436
742,38385.61,37750.789297316864
743,38439.04,37756.50092140552
744,38326.19,37761.22863160132
745,38223.22,37765.06258486604
746,38458.41,37770.816505323586
747,38570.11,37777.44964635825
748,38541.68,37783.791806969384
749,38433.9,37789.186895708226
750,38275.0,37793.21853972725
751,38420.65,37798.425439812505
752,38576.82,37804.88514570618
753,38239.32,37808.49041420654
754,38231.36,37811.999705374954
755,38402.86,37816.903110309606
756,38624.67,37823.60656997509
757,38840.98,37832.049503004346
758,38492.1,37837.52710048979
759,38604.97,37843.89592123261
760,39092.04,37854.253963380055
761,38846.32,37862.486876547024
762,38516.49,37867.91428835991
763,38356.04,37871.96512414116
764,38491.19,37877.10391979144
765,38763.41,37884.4591569716
766,38682.6,37891.08273243242
767,38680.51,37897.63399606368
768,38539.88,37902.96383842
769,38425.01,37907.296171711125
770,38598.61,37913.03321592929
771,38540.29,37918.2386664195
772,38412.1,37922.337100723074
773,38404.67,37926.339863372676
774,38262.57,37929.13015496294
775,38268.32,37931.94500844873
776,38430.3,37936.0807345197
777,38505.0,37940.80205622494
778,38540.64,37945.77996447203
779,38473.75,37950.161458542796
780,38692.33,37956.320533575636
781,38350.65,37959.59297728041
782,37695.24,37957.399176639075
783,37419.51,37952.93536604456
784,37311.15,37947.60934640934
785,37449.99,37943.47972527731
786,37463.57,37939.49707195551
787,37538.91,37936.172697914386
788,37537.21,37932.861804155764
789,36898.85,37924.280793332895
790,36992.97,37916.55207305627
791,36892.03,37908.04981518859
792,36867.89,37899.41778352728
793,36831.1,37890.552075780164
794,36942.68,37882.68591747493
795,36801.12,37873.71026670751
796,36885.69,37865.510928394586
797,36980.01,37858.16237297223
798,36907.86,37850.27604622557
799,36995.5,37843.18246907847
800,37049.98,37836.59987597409
801,36594.0,37826.287843808335
802,36361.43,37814.131347179224
803,36754.99,37805.34179243085
804,36667.21,37795.89671531524
805,36571.39,37785.73483386034
806,36491.31,37774.99271905652
807,36876.56,37767.536845869334
808,36668.57,37758.41678905714
809,36810.65,37750.55150450065
810,36742.68,37742.187425625125
811,36538.76,37732.20047603488
812,36359.06,37720.80511938729
813,36929.99,37714.24233831354
814,36913.08,37707.59368820306
815,37289.86,37704.12701859142
816,37156.61,37699.58330889356
817,37149.48,37695.018136205654
818,37306.17,37691.79118071847
819,37282.81,37688.397146023715
820,37270.6,37684.929949791156
821,37521.17,37683.57094605845
822,37969.5,37685.943801277885
823,37858.99,37687.37986931707
824,37934.03,37689.426758368376
825,37995.23,37691.96454460599
826,37873.08,37693.467577430834
827,37800.02,37694.35182990029
828,37946.81,37696.44691844884
829,37415.8,37694.117898378725
830,37939.57,37696.15484528014
831,39481.72,37710.97281336911
832,40249.05,37732.03569458596
833,40497.48,37754.985439859105
834,40452.9,37777.37477230841
835,40701.71,37801.643114446924
836,40568.01,37824.600515986785
837,40599.97,37847.63262788731
838,40617.2,37870.6165894816
839,41550.0,37901.15089164358
840,41465.14,37930.727564741974
841,41262.32,37958.375634744116
842,41350.85,37986.5289489786
843,41428.66,38015.09435189165
844,41451.66,38043.613568888395
845,41509.99,38072.38017827522
846,41485.01,38100.700757708626
847,41368.14,38127.81643606789
848,41428.44,38155.207502988495
849,41535.96,38183.26354030809
850,41552.2,38211.2215192267
851,41427.85,38237.915531515275
852,41372.94,38263.93233208362
853,41503.15,38290.81380650616
854,41443.87,38316.98024794595
855,41731.74,38345.31850314971
856,41276.89,38369.646897314444
857,41575.72,38396.25331310437
858,41659.8,38423.336688099356
859,41532.76,38449.141030936706
860,41631.01,38475.54658254719
861,41621.19,38501.65150717336
862,41571.23,38527.12518761175
863,41374.69,38550.75643086809
864,41462.87,38574.92334845424
865,41591.71,38599.958922326
866,41517.18,38624.16822587516
867,41429.06,38647.445336033874
868,41522.43,38671.30412992571
869,41558.58,38695.26492552798
870,41441.96,38718.059075523604
871,41588.0,38741.87601265619
872,41621.86,38765.776294708834
873,41630.0,38789.54578603905
874,41570.0,38812.6200948686
875,41510.72,38835.0109654506
876,41604.13,38857.99120640122
877,41679.99,38881.41028352652
878,41300.0,38901.48156748067
879,41494.99,38923.00445903684
880,41618.8,38945.37620626476
881,41619.99,38967.572171358
882,41486.59,38988.476883628886
883,41692.8,39010.91939911744
884,41552.61,39032.012267174556
885,41632.61,39053.593991098416
886,41575.81,39074.52524428433
887,42361.35,39101.80179827367
888,41801.49,39124.20584974028
889,42083.75,39148.76638210759
890,42306.91,39174.97504283699
891,42784.68,39204.93110057278
892,42783.52,39234.628933763044
893,42782.53,39264.07209613846
894,42740.51,39292.92220322445
895,42712.8,39321.302931828395
896,42584.63,39348.384484261354
897,42401.3,39373.71988273222
898,42534.0,39399.94627374689
899,42692.25,39427.268296371396
900,42610.62,39453.68615283304
901,42775.74,39481.25506442779
902,43376.83,39513.58348712963
903,43805.26,39549.19905985055
904,43776.5,39584.28039545345
905,44188.04,39622.4858693501
906,44052.88,39659.252625621055
907,44243.0,39697.29202291881
908,44118.1,39733.97922604812
909,44073.94,39769.99549803112
910,44050.0,39805.51420759103
911,43829.99,39838.91234694712
912,43836.71,39872.08909095586
913,44026.01,39906.56146364503
914,43939.99,39940.03389963137
915,44162.22,39975.07278843111
916,44338.06,40011.28015118273
917,44867.12,40051.577577314
918,44774.24,40090.769796589404
919,44842.26,40130.201250559614
920,44000.0,40162.315763003106
921,43844.1,40192.86998903628
922,43837.14,40223.11289369158
923,43978.64,40254.27909374393
924,43445.93,40280.76582325643
925,43620.99,40308.485525968
926,43562.59,40335.49054235
927,43406.53,40360.976346977804
928,43009.26,40382.95380467923
929,42955.06,40404.29908430845
930,42963.29,40425.53552344282
931,42985.41,40446.77929503251
