,time,price,fees,treasury,entry_fee_income,exit_fee_income,LA_exposure,LA_position,funding_payments,bull,liquidations,exits
36,2019-06-13,1.74,98635.96408724686,22631452.148718234,82102.59874029103,89523.97877151851,9278809.0449669,72361955.56189948,238765.06773982212,False,0.0,61.0
37,2019-06-14,1.67,129756.56665716665,22533141.40404734,75125.14860863397,141568.31770883434,9101265.871484205,70750539.93831307,228067.31132806154,False,14.0,89.0
38,2019-06-15,1.63,146452.89101059295,22457787.862852268,78622.30289659445,160095.90945067207,8943822.077628784,68618599.71533181,221806.43220566658,False,11.0,98.0
39,2019-06-16,1.59,158897.68156663762,22400922.364325147,75670.74745824108,176976.56623271274,8141516.309930012,62904036.107175365,215763.18009375635,False,22.0,106.0
40,2019-06-17,1.58,113372.24057121793,22300859.09204195,71896.29398253612,107231.84611998821,8972804.060481789,68293340.74571033,213435.51285441755,False,7.0,80.0
41,2019-06-18,1.56,128175.0757709637,22219098.408002187,73224.68443365229,126728.43376905109,9082862.52244958,70589274.34378886,209935.75981072886,False,8.0,93.0
42,2019-06-19,1.57,156263.09159908825,23621084.163325198,71477.20935062093,173855.84445994764,8576157.305743314,66121160.494900346,1245722.6637239226,True,0.0,111.0
43,2019-06-20,1.56,100929.9309115647,23499976.042314705,76235.30400403692,81215.38821800401,10015613.613277787,77119112.34198591,222038.0519220561,False,0.0,67.0
44,2019-06-21,1.55,150078.3027173736,23430108.83962328,71792.10013387783,160829.2690780512,9463185.306025583,73843296.34640442,219945.50540879832,False,0.0,108.0
45,2019-06-22,1.72,166267.95925929927,25047589.57776021,68651.96060801214,217328.92931798258,9071221.38810657,70310696.651048,1451212.7788776313,True,0.0,131.0
46,2019-06-23,1.67,161586.46370265406,24956580.097527403,82018.61720616411,187830.77717726817,8326247.744539911,64704873.45118494,252595.94393545788,False,0.0,109.0
47,2019-06-24,1.66,107775.65976167876,24814714.773946483,73496.8238839051,105410.77132048162,9426452.002984941,70579900.51181188,249640.98334259924,False,0.0,75.0
48,2019-06-25,1.79,166623.60300181506,26503886.109317023,86948.10219893625,211308.1471743127,9444502.946826352,70882110.44547142,1522547.7323687263,True,0.0,120.0
49,2019-06-26,1.72,136154.7457266634,26365115.633419637,78923.8018880663,155262.36076179473,8779985.574090004,68485946.40470275,274925.2216240508,False,0.0,96.0
50,2019-06-27,1.7,149084.92861962042,26243755.716306455,78148.21299373293,175296.1656596218,8588219.93236448,64895518.82714224,270444.8457328004,False,0.0,108.0
51,2019-06-28,1.58,151846.06741165443,26145371.478808463,76153.25148672733,163763.53502368668,7869663.34161046,58501837.147702634,250230.3049096477,False,38.0,83.0
52,2019-06-29,1.64,116736.69117930422,27586876.276077334,78230.62277520531,113217.5507588536,8782459.586922951,67315452.54520147,1324768.1060895647,True,0.0,84.0
53,2019-06-30,1.64,108108.76756461378,27422466.39081251,77354.5752958662,99943.80351010038,9537774.274540747,75663828.62471855,272518.65282943676,False,0.0,67.0
54,2019-07-01,1.59,157104.81910517966,27316462.10057507,69140.95164296187,180655.7107342738,8367824.874803673,66694456.240346454,263109.1093426147,False,0.0,126.0
55,2019-07-02,1.57,121909.96532990839,27179902.601044152,73424.4645035005,117974.18106445568,8762985.112084866,70453422.06224883,258469.4648608249,False,2.0,99.0
56,2019-07-03,1.55,135359.92877570877,27061230.588292535,73338.38058644281,136469.5090159058,8891680.231231827,71202257.23286107,254031.94152732473,False,4.0,96.0
57,2019-07-04,1.55,122377.9572192078,26930800.986038487,85799.37745415987,103886.45623561222,10121666.756197594,82123595.72845903,252807.55947325923,False,0.0,64.0
58,2019-07-05,1.61,173070.91795531288,28628602.152955435,79179.67335556395,199464.50455248982,9756241.28868472,78919785.14294168,1524730.2489616335,True,0.0,126.0
59,2019-07-06,1.61,127758.45949103472,28478574.168930236,83047.4106877824,122643.70909278352,10679333.521331035,85666852.26759714,277786.44351623295,False,0.0,68.0
60,2019-07-07,1.59,188139.9407701083,28393233.657093804,93169.36009976777,205973.1457247045,10076997.51050051,81515493.94266647,273480.45260654134,False,0.0,130.0
61,2019-07-08,1.62,163049.5342587966,30056418.763905894,75332.87098207927,188807.3745171712,9806695.22520892,77167467.72393484,1500135.572553293,True,0.0,115.0
62,2019-07-09,1.58,150904.23534990015,29920957.57722285,82042.71296976543,156385.9788830768,9359016.857056735,76480365.08981669,286365.422032945,False,0.0,102.0
63,2019-07-10,1.56,136568.9543340094,29776188.083221488,69149.20525325468,143898.3635078,9449566.69951302,74614830.83701237,281338.4483353722,False,0.0,93.0
64,2019-07-11,1.55,139650.88064333814,29637621.661500882,85775.51435727665,130683.35063989746,10066703.360782024,80728091.61912242,278217.3023639429,False,0.0,86.0
65,2019-07-12,1.52,142765.51611160647,29508790.04655266,70385.41913035302,146618.1653592888,9941722.383766795,78203880.99580628,271597.1310598259,False,0.0,88.0
66,2019-07-13,1.52,115655.32521279369,29354270.429974955,74446.9623074789,101349.13201596751,10841029.149331518,86023748.19958758,270174.94179050095,False,0.0,69.0
67,2019-07-14,1.56,189336.07963021574,30971432.30349591,73464.00726237065,221900.2769607659,9731062.903147534,76272745.40014634,1427825.7938907396,True,0.0,143.0
68,2019-07-15,1.49,139936.97273039148,30833233.634896837,65672.06791347059,142834.02145481276,8867855.66397529,70922417.25520347,278135.64132946316,False,3.0,98.0
69,2019-07-16,1.53,152930.70359303127,32312172.609371446,76763.10663118426,157220.8698661536,8949028.967811774,72222672.70596828,1326008.2708815774,True,0.0,107.0
70,2019-07-17,1.44,135154.89169684454,32166982.591459062,66463.5072593339,128159.53678412223,8507409.643824931,68801967.30054441,280344.90960923006,False,16.0,84.0
71,2019-07-18,1.41,138102.5591437592,32031784.13022872,59989.42481861986,134735.18357408058,8526739.940784412,64752221.71638577,273301.02037409984,False,29.0,85.0
72,2019-07-19,1.43,124391.20589644516,33305101.878406726,61739.524957443864,116139.89947447271,8796106.016142214,66953761.20521925,1148926.542281562,True,0.0,102.0
73,2019-07-20,1.39,133500.42651857922,33159724.361702226,73021.70335457672,112543.8895062484,9205385.53805038,71106021.74605958,278877.94322307705,False,12.0,91.0
74,2019-07-21,1.4,154548.22744542657,34484785.34137781,68493.33700711397,147874.18141648322,8917016.11963078,69673378.10893786,1170512.752230156,True,0.0,111.0
